Latitude (decimal degrees):	48.211
Longitude (decimal degrees):	9.034
Elevation (m):	730
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230103:1510,2.91,11.77,3.28,6.23,1.38,0.0
20230103:1610,0.0,0.0,0.0,5.02,1.66,0.0
20230103:1710,0.0,0.0,0.0,3.92,1.79,0.0
20230103:1810,0.0,0.0,0.0,3.13,2.0,0.0
20230103:1910,0.0,0.0,0.0,2.9,1.66,0.0
20230103:2010,0.0,0.0,0.0,2.39,1.72,0.0
20230103:2110,0.0,0.0,0.0,2.03,1.79,0.0
20230103:2210,0.0,0.0,0.0,1.48,1.86,0.0
20230103:2310,0.0,0.0,0.0,1.24,2.0,0.0
20230104:0010,0.0,0.0,0.0,1.23,2.14,0.0
20230104:0110,0.0,0.0,0.0,1.66,2.41,0.0
20230104:0210,0.0,0.0,0.0,1.92,2.62,0.0
20230104:0310,0.0,0.0,0.0,2.19,2.83,0.0
20230104:0410,0.0,0.0,0.0,2.15,2.9,0.0
20230104:0510,0.0,0.0,0.0,2.25,3.1,0.0
20230104:0610,0.0,0.0,0.0,2.59,3.31,0.0
20230104:0710,0.0,0.0,0.0,3.1,3.93,0.0
20230104:0810,8.66,20.81,6.4,3.63,4.07,0.0
20230104:0910,61.18,85.47,12.63,4.29,4.28,0.0
20230104:1010,54.82,78.52,16.95,4.94,4.62,0.0
20230104:1110,76.8,103.9,18.95,5.59,4.34,0.0
20230104:1210,65.07,90.81,18.43,6.27,4.48,0.0
20230104:1310,69.36,95.78,15.45,6.74,4.48,0.0
20230104:1410,57.96,82.62,10.31,6.99,4.62,0.0
20230104:1510,5.56,16.29,3.42,7.08,5.59,0.0
20230104:1610,0.0,0.0,0.0,6.61,5.38,0.0
20230104:1710,0.0,0.0,0.0,6.63,5.52,0.0
20230104:1810,0.0,0.0,0.0,6.45,5.59,0.0
20230104:1910,0.0,0.0,0.0,6.63,5.79,0.0
20230104:2010,0.0,0.0,0.0,6.64,5.79,0.0
20230104:2110,0.0,0.0,0.0,6.68,5.72,0.0
20230104:2210,0.0,0.0,0.0,6.8,5.66,0.0
20230104:2310,0.0,0.0,0.0,6.91,5.52,0.0
20230105:0010,0.0,0.0,0.0,6.97,5.38,0.0
20230105:0110,0.0,0.0,0.0,6.82,5.38,0.0
20230105:0210,0.0,0.0,0.0,6.84,5.38,0.0
20230105:0310,0.0,0.0,0.0,6.85,5.38,0.0
20230105:0410,0.0,0.0,0.0,6.85,5.31,0.0
20230105:0510,0.0,0.0,0.0,6.83,4.97,0.0
20230105:0610,0.0,0.0,0.0,6.73,4.76,0.0
20230105:0710,0.0,0.0,0.0,7.01,5.1,0.0
20230105:0810,93.78,124.81,6.44,7.18,4.83,0.0
20230105:0910,68.47,94.85,12.7,7.4,4.48,0.0
20230105:1010,49.31,72.84,17.03,7.5,4.21,0.0
20230105:1110,172.1,210.33,19.05,7.57,4.48,0.0
20230105:1210,180.77,219.67,18.55,7.48,4.48,0.0
20230105:1310,57.43,82.35,15.59,7.57,4.07,0.0
20230105:1410,147.39,183.55,10.45,7.64,3.93,0.0
20230105:1510,6.11,17.2,3.57,7.48,3.52,0.0
20230105:1610,0.0,0.0,0.0,7.15,3.1,0.0
20230105:1710,0.0,0.0,0.0,7.03,2.97,0.0
20230105:1810,0.0,0.0,0.0,6.91,2.83,0.0
20230105:1910,0.0,0.0,0.0,6.9,2.55,0.0
20230105:2010,0.0,0.0,0.0,6.72,2.48,0.0
20230105:2110,0.0,0.0,0.0,6.59,2.28,0.0
20230105:2210,0.0,0.0,0.0,6.29,2.14,0.0
20230105:2310,0.0,0.0,0.0,6.2,1.93,0.0
20230106:0010,0.0,0.0,0.0,5.53,1.86,0.0
20230106:0110,0.0,0.0,0.0,4.91,1.72,0.0
20230106:0210,0.0,0.0,0.0,4.08,1.72,0.0
20230106:0310,0.0,0.0,0.0,3.32,1.72,0.0
20230106:0410,0.0,0.0,0.0,2.78,1.66,0.0
20230106:0510,0.0,0.0,0.0,2.26,1.66,0.0
20230106:0610,0.0,0.0,0.0,1.89,1.72,0.0
20230106:0710,0.0,0.0,0.0,4.39,2.21,0.0
20230106:0810,218.23,265.24,6.49,4.59,2.21,0.0
20230106:0910,171.07,208.49,12.77,5.94,2.48,0.0
20230106:1010,251.89,298.11,17.12,6.57,2.76,0.0
20230106:1110,179.45,218.66,19.16,7.32,3.45,0.0
20230106:1210,39.77,61.49,18.68,7.49,3.03,0.0
20230106:1310,117.86,150.79,15.73,7.88,3.52,0.0
20230106:1410,48.71,72.12,10.6,7.59,2.48,0.0
20230106:1510,0.0,3.62,3.72,7.07,1.86,0.0
20230106:1610,0.0,0.0,0.0,6.17,1.52,0.0
20230106:1710,0.0,0.0,0.0,5.76,1.45,0.0
20230106:1810,0.0,0.0,0.0,4.95,1.66,0.0
20230106:1910,0.0,0.0,0.0,4.4,1.79,0.0
20230106:2010,0.0,0.0,0.0,3.62,1.93,0.0
20230106:2110,0.0,0.0,0.0,3.09,1.86,0.0
20230106:2210,0.0,0.0,0.0,2.76,1.72,0.0
20230106:2310,0.0,0.0,0.0,2.55,1.45,0.0
20230107:0010,0.0,0.0,0.0,2.63,1.24,0.0
20230107:0110,0.0,0.0,0.0,2.63,1.03,0.0
20230107:0210,0.0,0.0,0.0,2.41,0.9,0.0
20230107:0310,0.0,0.0,0.0,2.17,0.97,0.0
20230107:0410,0.0,0.0,0.0,1.8,1.17,0.0
20230107:0510,0.0,0.0,0.0,1.59,1.31,0.0
20230107:0610,0.0,0.0,0.0,1.59,1.52,0.0
20230107:0710,0.0,0.0,0.0,0.88,1.45,0.0
20230107:0810,101.14,130.5,6.55,1.09,1.59,0.0
20230107:0910,52.52,75.08,12.84,1.98,1.72,0.0
20230107:1010,92.79,121.1,17.22,3.52,1.93,0.0
20230107:1110,480.5,559.8,19.28,5.09,2.0,0.0
20230107:1210,575.79,680.66,18.81,6.49,1.93,0.0
20230107:1310,505.93,598.34,15.87,7.44,1.86,0.0
20230107:1410,388.6,462.34,10.75,7.7,1.79,0.0
20230107:1510,5.01,15.39,3.87,6.65,1.93,0.0
20230107:1610,0.0,0.0,0.0,5.08,2.21,0.0
20230107:1710,0.0,0.0,0.0,4.32,2.14,0.0
20230107:1810,0.0,0.0,0.0,3.8,2.21,0.0
20230107:1910,0.0,0.0,0.0,3.13,2.48,0.0
20230107:2010,0.0,0.0,0.0,3.18,2.48,0.0
20230107:2110,0.0,0.0,0.0,3.18,2.41,0.0
20230107:2210,0.0,0.0,0.0,3.07,2.34,0.0
20230107:2310,0.0,0.0,0.0,3.03,2.28,0.0
20230108:0010,0.0,0.0,0.0,2.88,2.14,0.0
20230108:0110,0.0,0.0,0.0,2.39,2.14,0.0
20230108:0210,0.0,0.0,0.0,1.94,2.07,0.0
20230108:0310,0.0,0.0,0.0,1.68,2.0,0.0
20230108:0410,0.0,0.0,0.0,1.82,1.86,0.0
20230108:0510,0.0,0.0,0.0,1.91,1.93,0.0
20230108:0610,0.0,0.0,0.0,2.15,2.07,0.0
20230108:0710,0.0,0.0,0.0,3.46,2.97,0.0
20230108:0810,4.95,15.14,6.61,3.86,3.1,0.0
20230108:0910,38.83,59.6,12.92,4.25,3.03,0.0
20230108:1010,54.77,78.52,17.32,4.85,3.03,0.0
20230108:1110,182.12,219.87,19.4,5.13,2.9,0.0
20230108:1210,118.57,150.68,18.96,5.62,2.76,0.0
20230108:1310,51.28,74.73,16.03,5.73,2.69,0.0
20230108:1410,60.91,85.65,10.91,5.47,2.55,0.0
20230108:1510,9.2,21.72,4.03,5.04,2.34,0.0
20230108:1610,0.0,0.0,0.0,3.66,2.21,0.0
20230108:1710,0.0,0.0,0.0,2.81,1.93,0.0
20230108:1810,0.0,0.0,0.0,2.71,1.66,0.0
20230108:1910,0.0,0.0,0.0,3.04,1.79,0.0
20230108:2010,0.0,0.0,0.0,2.53,1.66,0.0
20230108:2110,0.0,0.0,0.0,2.48,1.66,0.0
20230108:2210,0.0,0.0,0.0,2.07,1.93,0.0
20230108:2310,0.0,0.0,0.0,2.21,2.21,0.0
20230109:0010,0.0,0.0,0.0,2.6,3.03,0.0
20230109:0110,0.0,0.0,0.0,2.74,3.45,0.0
20230109:0210,0.0,0.0,0.0,2.94,3.93,0.0
20230109:0310,0.0,0.0,0.0,3.15,4.34,0.0
20230109:0410,0.0,0.0,0.0,3.14,4.62,0.0
20230109:0510,0.0,0.0,0.0,2.95,4.48,0.0
20230109:0610,0.0,0.0,0.0,2.47,4.28,0.0
20230109:0710,0.0,0.0,0.0,2.03,4.34,0.0
20230109:0810,241.47,286.61,6.68,2.0,4.41,0.0
20230109:0910,327.81,375.42,13.01,2.49,4.07,0.0
20230109:1010,491.91,554.81,17.43,3.0,5.79,0.0
20230109:1110,103.87,132.75,19.54,3.42,6.34,0.0
20230109:1210,42.99,64.33,19.1,3.68,4.97,0.0
20230109:1310,33.5,52.97,16.19,3.43,4.62,0.0
20230109:1410,123.65,154.06,11.08,3.06,4.28,0.0
20230109:1510,6.89,18.1,4.2,2.51,4.83,0.0
20230109:1610,0.0,0.0,0.0,1.58,4.21,0.0
20230109:1710,0.0,0.0,0.0,1.22,3.86,0.0
20230109:1810,0.0,0.0,0.0,0.95,3.93,0.0
20230109:1910,0.0,0.0,0.0,0.22,3.66,0.0
20230109:2010,0.0,0.0,0.0,0.0,3.52,0.0
20230109:2110,0.0,0.0,0.0,-0.05,3.52,0.0
20230109:2210,0.0,0.0,0.0,-0.18,3.45,0.0
20230109:2310,0.0,0.0,0.0,-0.25,3.24,0.0
20230110:0010,0.0,0.0,0.0,-0.19,3.31,0.0
20230110:0110,0.0,0.0,0.0,-0.12,3.52,0.0
20230110:0210,0.0,0.0,0.0,0.02,3.93,0.0
20230110:0310,0.0,0.0,0.0,0.15,4.14,0.0
20230110:0410,0.0,0.0,0.0,0.03,3.72,0.0
20230110:0510,0.0,0.0,0.0,0.0,3.24,0.0
20230110:0610,0.0,0.0,0.0,0.0,2.97,0.0
20230110:0710,0.0,0.0,0.0,0.17,2.97,0.0
20230110:0810,21.34,37.56,6.76,0.34,2.83,0.0
20230110:0910,75.42,100.14,13.11,0.52,3.24,0.0
20230110:1010,175.23,208.25,17.55,1.25,4.0,0.0
20230110:1110,132.67,163.32,19.67,1.93,4.48,0.0
20230110:1210,274.48,316.0,19.26,2.37,4.28,0.0
20230110:1310,216.5,253.63,16.35,2.59,4.14,0.0
20230110:1410,346.37,398.62,11.25,2.62,3.52,0.0
20230110:1510,10.62,23.53,4.37,2.3,2.76,0.0
20230110:1610,0.0,0.0,0.0,1.48,2.62,0.0
20230110:1710,0.0,0.0,0.0,0.91,2.69,0.0
20230110:1810,0.0,0.0,0.0,0.83,2.9,0.0
20230110:1910,0.0,0.0,0.0,1.22,3.31,0.0
20230110:2010,0.0,0.0,0.0,1.46,3.45,0.0
20230110:2110,0.0,0.0,0.0,1.68,3.59,0.0
20230110:2210,0.0,0.0,0.0,2.02,3.79,0.0
20230110:2310,0.0,0.0,0.0,2.38,3.93,0.0
20230111:0010,0.0,0.0,0.0,2.8,3.79,0.0
20230111:0110,0.0,0.0,0.0,3.38,3.66,0.0
20230111:0210,0.0,0.0,0.0,3.98,3.66,0.0
20230111:0310,0.0,0.0,0.0,4.5,3.72,0.0
20230111:0410,0.0,0.0,0.0,4.66,3.72,0.0
20230111:0510,0.0,0.0,0.0,4.47,3.72,0.0
20230111:0610,0.0,0.0,0.0,4.3,3.66,0.0
20230111:0710,0.0,0.0,0.0,4.95,4.14,0.0
20230111:0810,20.03,36.54,6.84,5.27,4.21,0.0
20230111:0910,37.72,58.65,13.22,6.15,4.34,0.0
20230111:1010,43.07,65.27,17.68,6.93,4.0,0.0
20230111:1110,71.33,98.38,19.82,7.2,4.41,0.0
20230111:1210,55.04,79.46,19.42,7.1,4.41,0.0
20230111:1310,138.47,172.73,16.53,6.89,4.34,0.0
20230111:1410,46.38,69.08,11.42,6.8,4.41,0.0
20230111:1510,11.01,24.44,4.55,6.55,4.83,0.0
20230111:1610,0.0,0.0,0.0,6.19,4.9,0.0
20230111:1710,0.0,0.0,0.0,5.69,4.34,0.0
20230111:1810,0.0,0.0,0.0,5.11,3.66,0.0
20230111:1910,0.0,0.0,0.0,4.88,3.45,0.0
20230111:2010,0.0,0.0,0.0,4.47,3.45,0.0
20230111:2110,0.0,0.0,0.0,3.95,3.45,0.0
20230111:2210,0.0,0.0,0.0,3.66,3.52,0.0
20230111:2310,0.0,0.0,0.0,3.58,3.72,0.0
20230112:0010,0.0,0.0,0.0,3.4,4.0,0.0
20230112:0110,0.0,0.0,0.0,3.38,4.41,0.0
20230112:0210,0.0,0.0,0.0,3.17,4.55,0.0
20230112:0310,0.0,0.0,0.0,3.14,4.55,0.0
20230112:0410,0.0,0.0,0.0,2.84,4.55,0.0
20230112:0510,0.0,0.0,0.0,2.85,4.76,0.0
20230112:0610,0.0,0.0,0.0,3.01,4.83,0.0
20230112:0710,0.0,0.0,0.0,3.54,5.17,0.0
20230112:0810,37.94,58.53,6.93,3.7,5.52,0.0
20230112:0910,78.62,104.96,13.33,4.11,5.45,0.0
20230112:1010,50.03,72.84,17.81,4.78,6.21,0.0
20230112:1110,150.17,184.24,19.97,5.33,6.48,0.0
20230112:1210,106.87,137.23,19.59,5.66,6.48,0.0
20230112:1310,149.9,184.0,16.7,5.91,6.62,0.0
20230112:1410,49.82,72.83,11.61,5.93,6.14,0.0
20230112:1510,12.34,26.25,4.73,5.79,5.66,0.0
20230112:1610,0.0,0.0,0.0,5.59,5.45,0.0
20230112:1710,0.0,0.0,0.0,5.44,5.38,0.0
20230112:1810,0.0,0.0,0.0,5.47,5.38,0.0
20230112:1910,0.0,0.0,0.0,5.82,5.45,0.0
20230112:2010,0.0,0.0,0.0,5.98,5.45,0.0
20230112:2110,0.0,0.0,0.0,6.03,5.38,0.0
20230112:2210,0.0,0.0,0.0,6.07,5.24,0.0
20230112:2310,0.0,0.0,0.0,6.07,5.1,0.0
20230113:0010,0.0,0.0,0.0,5.98,5.17,0.0
20230113:0110,0.0,0.0,0.0,5.72,5.24,0.0
20230113:0210,0.0,0.0,0.0,5.69,5.24,0.0
20230113:0310,0.0,0.0,0.0,5.68,5.31,0.0
20230113:0410,0.0,0.0,0.0,5.66,5.38,0.0
20230113:0510,0.0,0.0,0.0,5.47,5.31,0.0
20230113:0610,0.0,0.0,0.0,5.32,5.31,0.0
20230113:0710,0.0,0.0,0.0,5.22,5.72,0.0
20230113:0810,100.85,131.71,7.03,5.34,5.79,0.0
20230113:0910,63.6,88.7,13.45,5.81,5.93,0.0
20230113:1010,13.85,28.38,17.95,6.24,5.03,0.0
20230113:1110,463.41,529.16,20.14,6.29,6.55,0.0
20230113:1210,21.72,38.79,19.77,6.15,5.52,0.0
20230113:1310,495.7,565.15,16.89,5.49,6.0,0.0
20230113:1410,395.67,455.16,11.79,4.94,5.45,0.0
20230113:1510,13.09,27.15,4.92,4.4,5.31,0.0
20230113:1610,0.0,0.0,0.0,3.68,4.76,0.0
20230113:1710,0.0,0.0,0.0,3.18,4.41,0.0
20230113:1810,0.0,0.0,0.0,3.07,4.28,0.0
20230113:1910,0.0,0.0,0.0,2.78,4.34,0.0
20230113:2010,0.0,0.0,0.0,2.7,4.55,0.0
20230113:2110,0.0,0.0,0.0,2.6,4.48,0.0
20230113:2210,0.0,0.0,0.0,2.43,4.21,0.0
20230113:2310,0.0,0.0,0.0,2.26,3.86,0.0
20230114:0010,0.0,0.0,0.0,2.08,3.59,0.0
20230114:0110,0.0,0.0,0.0,2.3,3.52,0.0
20230114:0210,0.0,0.0,0.0,2.28,3.45,0.0
20230114:0310,0.0,0.0,0.0,2.23,3.38,0.0
20230114:0410,0.0,0.0,0.0,2.57,3.52,0.0
20230114:0510,0.0,0.0,0.0,2.68,3.31,0.0
20230114:0610,0.0,0.0,0.0,2.54,3.31,0.0
20230114:0710,0.0,0.0,0.0,2.31,3.45,0.0
20230114:0810,52.11,75.16,7.14,3.02,3.72,0.0
20230114:0910,61.3,85.56,13.57,3.82,3.59,0.0
20230114:1010,215.45,255.56,18.1,4.81,3.31,0.0
20230114:1110,128.18,160.91,20.3,5.17,3.38,0.0
20230114:1210,114.47,146.4,19.95,6.23,3.79,0.0
20230114:1310,105.96,136.99,17.08,6.68,3.59,0.0
20230114:1410,27.56,46.35,11.99,7.04,4.41,0.0
20230114:1510,9.1,21.72,5.11,7.15,4.55,0.0
20230114:1610,0.0,0.0,0.0,6.6,4.97,0.0
20230114:1710,0.0,0.0,0.0,5.98,5.24,0.0
20230114:1810,0.0,0.0,0.0,6.01,5.66,0.0
20230114:1910,0.0,0.0,0.0,5.9,5.79,0.0
20230114:2010,0.0,0.0,0.0,6.16,6.0,0.0
20230114:2110,0.0,0.0,0.0,6.18,6.07,0.0
20230114:2210,0.0,0.0,0.0,6.12,6.14,0.0
20230114:2310,0.0,0.0,0.0,5.99,6.07,0.0
20230115:0010,0.0,0.0,0.0,6.0,6.07,0.0
20230115:0110,0.0,0.0,0.0,5.62,5.79,0.0
20230115:0210,0.0,0.0,0.0,5.56,5.66,0.0
20230115:0310,0.0,0.0,0.0,5.62,5.72,0.0
20230115:0410,0.0,0.0,0.0,5.9,6.14,0.0
20230115:0510,0.0,0.0,0.0,6.35,6.34,0.0
20230115:0610,0.0,0.0,0.0,6.69,6.21,0.0
20230115:0710,0.0,0.0,0.0,6.48,5.66,0.0
20230115:0810,12.5,26.49,7.25,5.94,4.83,0.0
20230115:0910,66.16,91.41,13.7,5.04,4.97,0.0
20230115:1010,46.28,68.11,18.25,3.13,3.45,0.0
20230115:1110,33.69,52.97,20.48,2.18,3.66,0.0
20230115:1210,31.44,50.14,20.14,1.64,4.28,0.0
20230115:1310,49.17,70.95,17.28,1.31,3.86,0.0
20230115:1410,53.94,76.38,12.19,1.34,3.17,0.0
20230115:1510,13.3,27.15,5.31,1.39,4.28,0.0
20230115:1610,0.0,0.0,0.0,1.01,4.76,0.0
20230115:1710,0.0,0.0,0.0,0.76,4.69,0.0
20230115:1810,0.0,0.0,0.0,0.49,4.48,0.0
20230115:1910,0.0,0.0,0.0,-0.37,4.34,0.0
20230115:2010,0.0,0.0,0.0,-0.49,4.21,0.0
20230115:2110,0.0,0.0,0.0,-0.62,4.07,0.0
20230115:2210,0.0,0.0,0.0,-0.78,3.93,0.0
20230115:2310,0.0,0.0,0.0,-0.75,3.72,0.0
20230116:0010,0.0,0.0,0.0,-0.83,3.59,0.0
20230116:0110,0.0,0.0,0.0,-0.91,3.45,0.0
20230116:0210,0.0,0.0,0.0,-1.01,3.17,0.0
20230116:0310,0.0,0.0,0.0,-1.19,2.97,0.0
20230116:0410,0.0,0.0,0.0,-1.35,2.83,0.0
20230116:0510,0.0,0.0,0.0,-1.56,2.76,0.0
20230116:0610,0.0,0.0,0.0,-1.61,2.69,0.0
20230116:0710,0.0,0.0,0.0,-1.72,2.9,0.0
20230116:0810,42.14,62.4,7.37,-1.24,2.55,0.0
20230116:0910,73.69,98.19,13.84,-0.06,2.0,0.0
20230116:1010,66.57,90.81,18.41,0.97,2.07,0.0
20230116:1110,57.35,80.41,20.66,1.22,2.28,0.0
20230116:1210,63.22,87.03,20.33,1.15,2.62,0.0
20230116:1310,81.49,107.6,17.48,1.68,2.97,0.0
20230116:1410,59.89,83.29,12.39,2.06,4.34,0.0
20230116:1510,13.26,27.15,5.51,2.03,5.93,0.0
20230116:1610,0.0,0.0,0.0,1.33,6.28,0.0
20230116:1710,0.0,0.0,0.0,0.94,6.55,0.0
20230116:1810,0.0,0.0,0.0,0.53,6.76,0.0
20230116:1910,0.0,0.0,0.0,0.73,6.62,0.0
20230116:2010,0.0,0.0,0.0,0.41,6.14,0.0
20230116:2110,0.0,0.0,0.0,0.19,5.45,0.0
20230116:2210,0.0,0.0,0.0,-0.23,4.83,0.0
20230116:2310,0.0,0.0,0.0,-0.57,4.55,0.0
20230117:0010,0.0,0.0,0.0,-0.88,4.28,0.0
20230117:0110,0.0,0.0,0.0,-1.42,3.93,0.0
20230117:0210,0.0,0.0,0.0,-1.41,3.66,0.0
20230117:0310,0.0,0.0,0.0,-1.26,3.24,0.0
20230117:0410,0.0,0.0,0.0,-1.33,2.62,0.0
20230117:0510,0.0,0.0,0.0,-1.51,2.14,0.0
20230117:0610,0.0,0.0,0.0,-2.08,1.38,0.0
20230117:0710,0.0,0.0,0.0,-2.56,1.45,0.0
20230117:0810,104.37,131.93,7.49,-2.71,1.45,0.0
20230117:0910,170.53,202.03,13.99,-1.71,1.45,0.0
20230117:1010,261.52,300.62,18.58,-0.81,1.72,0.0
20230117:1110,191.46,225.93,20.85,-0.04,2.07,0.0
20230117:1210,145.99,177.15,20.54,0.27,2.55,0.0
20230117:1310,166.6,198.85,17.69,0.34,2.83,0.0
20230117:1410,75.7,100.36,12.6,0.06,2.41,0.0
20230117:1510,7.0,18.1,5.71,-0.36,2.14,0.0
20230117:1610,0.0,0.0,0.0,-0.92,2.07,0.0
20230117:1710,0.0,0.0,0.0,-1.38,1.86,0.0
20230117:1810,0.0,0.0,0.0,-1.71,1.79,0.0
20230117:1910,0.0,0.0,0.0,-1.92,1.24,0.0
20230117:2010,0.0,0.0,0.0,-2.06,0.97,0.0
20230117:2110,0.0,0.0,0.0,-2.21,0.69,0.0
20230117:2210,0.0,0.0,0.0,-2.32,0.76,0.0
20230117:2310,0.0,0.0,0.0,-2.46,1.17,0.0
20230118:0010,0.0,0.0,0.0,-2.45,1.66,0.0
20230118:0110,0.0,0.0,0.0,-2.58,2.0,0.0
20230118:0210,0.0,0.0,0.0,-2.54,2.28,0.0
20230118:0310,0.0,0.0,0.0,-2.44,2.62,0.0
20230118:0410,0.0,0.0,0.0,-2.09,2.76,0.0
20230118:0510,0.0,0.0,0.0,-1.71,2.83,0.0
20230118:0610,0.0,0.0,0.0,-1.53,2.76,0.0
20230118:0710,0.0,0.0,0.0,-2.41,1.86,0.0
20230118:0810,24.34,40.86,7.62,-2.66,1.93,0.0
20230118:0910,213.62,246.91,14.14,-2.56,2.0,0.0
20230118:1010,171.27,201.96,18.76,-2.31,2.34,0.0
20230118:1110,139.8,168.91,21.04,-1.89,3.1,0.0
20230118:1210,82.76,107.84,20.74,-1.32,3.1,0.0
20230118:1310,40.73,60.54,17.9,-1.31,3.1,0.0
20230118:1410,77.83,102.04,12.81,-1.57,2.69,0.0
20230118:1510,19.83,35.3,5.92,-2.03,2.21,0.0
20230118:1610,0.0,0.0,0.0,-2.95,2.0,0.0
20230118:1710,0.0,0.0,0.0,-3.67,1.93,0.0
20230118:1810,0.0,0.0,0.0,-4.07,1.79,0.0
20230118:1910,0.0,0.0,0.0,-3.95,1.66,0.0
20230118:2010,0.0,0.0,0.0,-4.14,1.79,0.0
20230118:2110,0.0,0.0,0.0,-4.32,1.93,0.0
20230118:2210,0.0,0.0,0.0,-4.33,1.93,0.0
20230118:2310,0.0,0.0,0.0,-4.38,1.79,0.0
20230119:0010,0.0,0.0,0.0,-4.49,1.72,0.0
20230119:0110,0.0,0.0,0.0,-4.65,1.79,0.0
20230119:0210,0.0,0.0,0.0,-4.79,1.79,0.0
20230119:0310,0.0,0.0,0.0,-5.04,2.0,0.0
20230119:0410,0.0,0.0,0.0,-5.35,2.14,0.0
20230119:0510,0.0,0.0,0.0,-5.66,2.21,0.0
20230119:0610,0.0,0.0,0.0,-5.92,2.28,0.0
